method,model_slug,objective,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,delta_micro_f1_mean,delta_micro_f1_std,delta_micro_f1_count,delta_macro_auprc_mean,delta_macro_auprc_std,delta_macro_auprc_count,delta_micro_auprc_mean,delta_micro_auprc_std,delta_micro_auprc_count,delta_circular_error_mean,delta_circular_error_std,delta_circular_error_count,delta_opposite_value_activation_mean,delta_opposite_value_activation_std,delta_opposite_value_activation_count,delta_neighbor_error_rate_mean,delta_neighbor_error_rate_std,delta_neighbor_error_rate_count,delta_opposite_error_rate_mean,delta_opposite_error_rate_std,delta_opposite_error_rate_count,delta_confusion_distance_correlation_mean,delta_confusion_distance_correlation_std,delta_confusion_distance_correlation_count,delta_geometry_cost_mean,delta_geometry_cost_std,delta_geometry_cost_count,delta_n_predictions_mean,delta_n_predictions_std,delta_n_predictions_count,delta_prediction_rate_mean,delta_prediction_rate_std,delta_prediction_rate_count
asl,deberta-v3-base,f1,8.846693528731242e-05,0.00028487988432104855,5,0.0004295329681526239,0.0007253787512496163,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0007261742873576948,0.0010589249218185869,5,-0.000989131873124016,0.0013789941033294586,5,-0.010651161789963937,0.014900061910057985,5,-0.000989131873124016,0.001378994103329466,5,-166.6,228.5012034979247,5,-0.0006018546950807585,0.0008254773238705271,5
asl,deberta-v3-base,pareto_95,-0.0035044279428053547,0.0017831565146986987,5,-0.00497049118023789,0.008625581982488634,5,-0.010350810624086482,0.00964341323872043,5,-0.014249637889258227,0.012836464736158324,5,-0.09023354357656777,0.03396650496183276,5,-0.038396733820665975,0.013949718943381479,5,0.0036708561349232892,0.002767136210422908,5,7.235411505380762e-05,0.010544246624944853,5,-0.03299266099907981,0.009053605038974958,5,-0.12855792328217994,0.046826352756247414,5,-797.6,825.672937669632,5,-0.002881388384132132,0.0029828039263961035,5
asl,deberta-v3-base,pareto_98,-0.0004672640790812532,0.0007034728635428416,5,-0.005025773817642321,0.011392924129230498,5,-0.005847766405401078,0.008114596231683452,5,-0.008656815021395902,0.011854705509970741,5,-0.01633020424664089,0.022790528474048777,5,-0.007038824091820284,0.009761887936919709,5,0.001249196658290469,0.0014810538886533575,5,-0.004605571683642562,0.008323962069290593,5,-0.02119641895697546,0.011185026917021636,5,-0.027974600022103703,0.03508748637473573,5,64.2,894.4901899965141,5,0.00023192719942487992,0.003231411287833627,5
asl,deberta-v3-base,pareto_99,-0.0006711419409337505,0.0014272603634334345,5,3.0451050920843324e-05,0.0012241764916662069,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.001105207121674967,0.0008587108568511891,5,-0.001006200008800262,0.0020064006350328364,5,-0.023486530092942787,0.013877712278621144,5,-0.001006200008800273,0.0020064006350328204,5,-354.6,212.55775685681292,5,-0.0012810184566364763,0.0007678804558229717,5
bce,deberta-v3-base,f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
bce,deberta-v3-base,pareto_95,-0.00461352812975554,0.0019882910855865245,5,-0.004442375330217019,0.01622006128733502,5,-0.001445259046263836,0.000905639083581571,5,-0.004213731465959958,0.002027412480203726,5,-0.0315244174269199,0.01070238365894748,5,-0.01282988410590626,0.004096770095784174,5,0.00041737007849246277,0.002725247549298587,5,0.01025165426001754,0.006398144290891182,5,-0.029617418915818188,0.017710217273334813,5,-0.03410264727280865,0.014452158967160426,5,-1164.0,2038.3094711058966,5,-0.004205035204525832,0.007363542168143233,5
bce,deberta-v3-base,pareto_98,-0.0009993103100914501,0.001529766760890139,5,0.0009065301323054498,0.001183496129998364,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0005341824585856303,0.0013081856487139369,5,0.0003218811954443401,0.0013954433450048026,5,-0.023767583498083184,0.01421203415288878,5,0.00032188119544431795,0.0013954433450048091,5,-415.0,243.75192306933704,5,-0.0014992178779022508,0.000880571664671335,5
bce,deberta-v3-base,pareto_99,-0.0009993103100914501,0.001529766760890139,5,0.0009065301323054498,0.001183496129998364,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0005341824585856303,0.0013081856487139369,5,0.0003218811954443401,0.0013954433450048026,5,-0.023767583498083184,0.01421203415288878,5,0.00032188119544431795,0.0013954433450048091,5,-415.0,243.75192306933704,5,-0.0014992178779022508,0.000880571664671335,5
empirical_structure,deberta-v3-base,f1,-7.957941489028508e-05,0.0001779449813043364,5,8.767882882008138e-05,0.00019605582142926965,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,-6.239852873334284e-05,0.00013952735194372844,5,-2.2573465493547217e-05,5.0475803331317415e-05,5,-0.0035158071313148463,0.007861583741398526,5,-2.2573465493547217e-05,5.0475803331317415e-05,5,-66.8,149.36934089698596,5,-0.00024131988974426534,0.0005396076777909317,5
empirical_structure,deberta-v3-base,pareto_95,-0.002873708936458419,0.0025640652289767064,5,0.003666190584085094,0.002447452148420923,5,-0.0005388520941552455,0.0010374649372834669,5,-0.0029597056681575974,0.0012543061214796002,5,-0.025649727145864908,0.007886559407184525,5,-0.010387021069018065,0.0030369091191725555,5,0.002658861015184566,0.0009722405408528847,5,0.011265096883794012,0.006510612627425174,5,-0.03036545977384082,0.0030895239307745406,5,-0.02477165133108892,0.004944225311172128,5,-1977.2,467.9825851460714,5,-0.007142779730574292,0.0016906213450551876,5
empirical_structure,deberta-v3-base,pareto_98,0.00017557419914617788,0.0009774116196739557,5,0.0013853585781082756,0.0012650145107189583,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0005002149638180797,0.0014971177404946316,5,0.0008922613905377741,0.002436476051431405,5,-0.027383126134413256,0.005384856415867453,5,0.0008922613905377741,0.002436476051431405,5,-500.6,62.07898195041539,5,-0.001808454143802088,0.00022426486646273279,5
