method,model_slug,objective,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_micro_f1_count,test_macro_auprc_mean,test_macro_auprc_std,test_macro_auprc_count,test_micro_auprc_mean,test_micro_auprc_std,test_micro_auprc_count,test_circular_error_mean,test_circular_error_std,test_circular_error_count,test_opposite_value_activation_mean,test_opposite_value_activation_std,test_opposite_value_activation_count,test_neighbor_error_rate_mean,test_neighbor_error_rate_std,test_neighbor_error_rate_count,test_opposite_error_rate_mean,test_opposite_error_rate_std,test_opposite_error_rate_count,test_confusion_distance_correlation_mean,test_confusion_distance_correlation_std,test_confusion_distance_correlation_count,test_geometry_cost_mean,test_geometry_cost_std,test_geometry_cost_count,test_n_predictions_mean,test_n_predictions_std,test_n_predictions_count,test_prediction_rate_mean,test_prediction_rate_std,test_prediction_rate_count
asl,deberta-v3-base,f1,0.28334255573183226,0.019431830018314823,5,0.3310182868683033,0.02247043760572365,5,0.2235393697563604,0.02404124075325903,5,0.26139780403956536,0.028036267808354626,5,0.3735122867413548,0.181240806299983,5,0.14920842650745542,0.07438857104805034,5,0.1996175798957875,0.005053179933211385,5,0.4809054052043467,0.01146194100285255,5,-0.1353167779515006,0.027768820536362093,5,1.0036261184531567,0.25997224791701357,5,10130.0,1076.1331237351633,5,0.03659536651361398,0.0038876096821844636,5
asl,deberta-v3-base,pareto_95,0.27974966085373965,0.019966669788390453,5,0.3256182627199128,0.02872181777855454,5,0.21318855913227389,0.03360733850272504,5,0.24714816615030713,0.04059460800546683,5,0.283278743164787,0.15017089155135332,5,0.11081169268678943,0.06162127843338501,5,0.20256226174335307,0.004383598877665796,5,0.48196689119252456,0.013598558286812286,5,-0.15765827716061648,0.023620183994275127,5,0.8760573270441011,0.21864603869691834,5,9499.0,1118.5056995831537,5,0.03431583282456261,0.0040406837140978995,5
asl,deberta-v3-base,pareto_98,0.2827868247174637,0.01994486687899039,5,0.3255629800825084,0.029857223908319065,5,0.21769160335095927,0.029998801592008153,5,0.25274098901816944,0.03638314710363052,5,0.3571820824947139,0.19819237496220343,5,0.14216960241563512,0.0818514312352076,5,0.20014060226672026,0.004664541684997671,5,0.47728896539382826,0.01576774797182653,5,-0.14586203511851212,0.023717842890247233,5,0.9766406503041771,0.28937354206179605,5,10360.8,1339.2802917985466,5,0.03742914840811962,0.004838248089124154,5
asl,deberta-v3-base,pareto_99,0.2825829468556112,0.019936995088309224,5,0.33061920495107155,0.022694893843097794,5,0.2235393697563604,0.02404124075325903,5,0.26139780403956536,0.028036267808354626,5,0.3735122867413548,0.181240806299983,5,0.14920842650745542,0.07438857104805034,5,0.19999661273010477,0.004811056626221283,5,0.4808883370686705,0.010280912460830322,5,-0.14815214625447945,0.0281241716814441,5,1.0036090503174806,0.2598444126454824,5,9942.0,1261.054122549861,5,0.035916202752058264,0.004555650326576116,5
asl,deberta-v3-base,standard,0.28325408879654496,0.01932546928206237,5,0.3305887539001507,0.021897891263237674,5,0.2235393697563604,0.02404124075325903,5,0.26139780403956536,0.028036267808354626,5,0.3735122867413548,0.181240806299983,5,0.14920842650745542,0.07438857104805034,5,0.1988914056084298,0.004677776163774231,5,0.4818945370774707,0.011805654177136278,5,-0.12466561616153667,0.015626841106727,5,1.004615250326281,0.26130034476351327,5,10296.6,1283.4563880397338,5,0.037197221208694745,0.0046365801504988395,5
bce,deberta-v3-base,f1,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.6921463673972834,0.019804948572309775,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,pareto_95,0.2887545194946692,0.004409902394261499,5,0.33804468835523244,0.020005478181154904,5,0.233896938360946,0.007478415012465856,5,0.27976157276724534,0.012870446433914846,5,0.10267083376225569,0.010505879624695829,5,0.03595916123301794,0.004588461853737281,5,0.19189432582461538,0.003063683822502477,5,0.519413725129201,0.009273548917343256,5,-0.16688230401870352,0.016627987835322662,5,0.6580437201244747,0.01945171838487334,5,10553.8,2430.4435191956222,5,0.03812637503567416,0.008780155120987326,5
bce,deberta-v3-base,pareto_98,0.2923687373143332,0.0033015478096161863,5,0.3433935938177549,0.005609632719681955,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19201113820470855,0.003664822522004225,5,0.5094839520646278,0.00961125968235223,5,-0.16103246860096848,0.011976648167610763,5,0.6924682485927277,0.020473989677852307,5,11302.8,704.6372825787748,5,0.040832192362297744,0.0025455537625989383,5
bce,deberta-v3-base,pareto_99,0.2923687373143332,0.0033015478096161863,5,0.3433935938177549,0.005609632719681955,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19201113820470855,0.003664822522004225,5,0.5094839520646278,0.00961125968235223,5,-0.16103246860096848,0.011976648167610763,5,0.6924682485927277,0.020473989677852307,5,11302.8,704.6372825787748,5,0.040832192362297744,0.0025455537625989383,5
bce,deberta-v3-base,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.6921463673972834,0.019804948572309775,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
