comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,macro_f1,True,0.2395924129005671,0.24295939842614378,-0.0033669855255766823,-0.009106404059552578,0.002604666846268601,-0.0033669855255766823,-0.009106404059552578,0.002604666846268601,0.274,14569,2000,42,False
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,micro_f1,True,0.2643078796457636,0.2730267336123114,-0.008718853966547813,-0.013320794834179358,-0.00413536530095866,-0.008718853966547813,-0.013320794834179358,-0.00413536530095866,0.0,14569,2000,42,True
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,opposite_error_rate,False,0.5321758389472961,0.5214343667030334,0.010741472244262695,0.0052938699722290036,0.016251243650913235,-0.010741472244262695,-0.016251243650913235,-0.0052938699722290036,0.0,14569,2000,42,True
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,decoder_geometry_cost,False,0.5633430836399489,0.5757443684383586,-0.01240128479840974,-0.02174878543462922,-0.0033835278891037874,0.01240128479840974,0.0033835278891037874,0.02174878543462922,0.01,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed7,llm,bce_thresholding,7.0,macro_f1,True,0.2395924129005671,0.29367366228498676,-0.05408124938441966,-0.0640882861397315,-0.04268424005681864,-0.05408124938441966,-0.0640882861397315,-0.04268424005681864,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed7,llm,bce_thresholding,7.0,micro_f1,True,0.2643078796457636,0.3475988459293726,-0.08329096628360905,-0.09114709790761308,-0.07532120517756091,-0.08329096628360905,-0.09114709790761308,-0.07532120517756091,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed7,llm,bce_thresholding,7.0,opposite_error_rate,False,0.5321758389472961,0.5159894227981567,0.016186416149139404,0.005792158842086792,0.027117651700973487,-0.016186416149139404,-0.027117651700973487,-0.005792158842086792,0.001,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed7,llm,bce_thresholding,7.0,decoder_geometry_cost,False,0.5633430836399489,0.5830126469421859,-0.019669563302237014,-0.03826068641759585,-0.001998627186818318,0.019669563302237014,0.001998627186818318,0.03826068641759585,0.027,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed7,llm,bce_thresholding,7.0,macro_f1,True,0.24295939842614378,0.29367366228498676,-0.05071426385884298,-0.062258618826959725,-0.038511115338415794,-0.05071426385884298,-0.062258618826959725,-0.038511115338415794,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed7,llm,bce_thresholding,7.0,micro_f1,True,0.2730267336123114,0.3475988459293726,-0.07457211231706123,-0.08350501077717164,-0.06594847642545656,-0.07457211231706123,-0.08350501077717164,-0.06594847642545656,0.0,14569,2000,42,True
