comparison,main_paper_comparison,condition_a,condition_b_family,metric,higher_is_better,n_comparisons,score_a_mean,score_a_std,score_b_mean,score_b_std,delta_a_minus_b_mean,delta_a_minus_b_std,improvement_a_over_b_mean,improvement_a_over_b_std,p_value_two_sided_mean,p_value_two_sided_std,significant_0.05_count,significant_0.05_total,min_improvement_ci_low,max_improvement_ci_high,max_p_value
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,decoder_geometry_cost,False,1,0.5633430836399489,0.0,0.5668048887519286,0.0,-0.0034618051119796878,0.0,0.0034618051119796878,0.0,0.3,0.0,0,1,-0.005830033466716797,0.024486338944759996,0.3
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,macro_f1,True,1,0.2395924129005671,0.0,0.29630508495553604,0.0,-0.05671267205496894,0.0,-0.05671267205496894,0.0,0.0,0.0,1,1,-0.06398627529450636,-0.051177873793995875,0.0
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,micro_f1,True,1,0.2643078796457636,0.0,0.33617000699761096,0.0,-0.07186212735184738,0.0,-0.07186212735184738,0.0,0.0,0.0,1,1,-0.07881035828173537,-0.06636049894932004,0.0
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,opposite_error_rate,False,1,0.5321758389472961,0.0,0.5176442861557007,0.0,0.014531552791595459,0.0,-0.014531552791595459,0.0,0.0,0.0,1,1,-0.022083662450313568,-0.0031288668513298036,0.0
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,decoder_geometry_cost,False,1,0.5633430836399489,0.0,0.5757443684383586,0.0,-0.01240128479840974,0.0,0.01240128479840974,0.0,0.0,0.0,1,1,0.0047379999302287175,0.02098325746932071,0.0
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,macro_f1,True,1,0.2395924129005671,0.0,0.24295939842614378,0.0,-0.0033669855255766823,0.0,-0.0033669855255766823,0.0,0.2,0.0,0,1,-0.007412017730419824,0.0012893807048347072,0.2
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,micro_f1,True,1,0.2643078796457636,0.0,0.2730267336123114,0.0,-0.008718853966547813,0.0,-0.008718853966547813,0.0,0.0,0.0,1,1,-0.010792246629008255,-0.005838769638289086,0.0
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,opposite_error_rate,False,1,0.5321758389472961,0.0,0.5214343667030334,0.0,0.010741472244262695,0.0,-0.010741472244262695,0.0,0.0,0.0,1,1,-0.015333507955074304,-0.00629177838563919,0.0
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder,decoder_geometry_cost,False,1,0.5633430836399489,0.0,0.551401591090652,0.0,0.011941492549296884,0.0,-0.011941492549296884,0.0,0.8,0.0,0,1,-0.02515512371285579,0.008867994125214213,0.8
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder,macro_f1,True,1,0.2395924129005671,0.0,0.2974823597244084,0.0,-0.0578899468238413,0.0,-0.0578899468238413,0.0,0.0,0.0,1,1,-0.06452820622219287,-0.05208125902071917,0.0
