comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,macro_f1,True,0.2395924129005671,0.24295939842614378,-0.0033669855255766823,-0.007412017730419824,0.0012893807048347072,-0.0033669855255766823,-0.007412017730419824,0.0012893807048347072,0.2,14569,20,42,False
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,micro_f1,True,0.2643078796457636,0.2730267336123114,-0.008718853966547813,-0.010792246629008255,-0.005838769638289086,-0.008718853966547813,-0.010792246629008255,-0.005838769638289086,0.0,14569,20,42,True
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,opposite_error_rate,False,0.5321758389472961,0.5214343667030334,0.010741472244262695,0.00629177838563919,0.015333507955074304,-0.010741472244262695,-0.015333507955074304,-0.00629177838563919,0.0,14569,20,42,True
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,qwen_definitions,llm,llm,,decoder_geometry_cost,False,0.5633430836399489,0.5757443684383586,-0.01240128479840974,-0.02098325746932071,-0.0047379999302287175,0.01240128479840974,0.0047379999302287175,0.02098325746932071,0.0,14569,20,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,macro_f1,True,0.2395924129005671,0.29630508495553604,-0.05671267205496894,-0.06398627529450636,-0.051177873793995875,-0.05671267205496894,-0.06398627529450636,-0.051177873793995875,0.0,14569,20,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,micro_f1,True,0.2643078796457636,0.33617000699761096,-0.07186212735184738,-0.07881035828173537,-0.06636049894932004,-0.07186212735184738,-0.07881035828173537,-0.06636049894932004,0.0,14569,20,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,opposite_error_rate,False,0.5321758389472961,0.5176442861557007,0.014531552791595459,0.0031288668513298036,0.022083662450313568,-0.014531552791595459,-0.022083662450313568,-0.0031288668513298036,0.0,14569,20,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,decoder_geometry_cost,False,0.5633430836399489,0.5668048887519286,-0.0034618051119796878,-0.024486338944759996,0.005830033466716797,0.0034618051119796878,-0.005830033466716797,0.024486338944759996,0.3,14569,20,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,macro_f1,True,0.24295939842614378,0.29630508495553604,-0.053345686529392256,-0.061324822750430136,-0.045228114815872564,-0.053345686529392256,-0.061324822750430136,-0.045228114815872564,0.0,14569,20,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,micro_f1,True,0.2730267336123114,0.33617000699761096,-0.06314327338529957,-0.07044638785629535,-0.05751000588499074,-0.06314327338529957,-0.07044638785629535,-0.05751000588499074,0.0,14569,20,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,opposite_error_rate,False,0.5214343667030334,0.5176442861557007,0.0037900805473327637,-0.007915039360523225,0.01204261630773544,-0.0037900805473327637,-0.01204261630773544,0.007915039360523225,0.6,14569,20,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,decoder_geometry_cost,False,0.5757443684383586,0.5668048887519286,0.008939479686430052,-0.01671575633735128,0.021798049079999476,-0.008939479686430052,-0.021798049079999476,0.01671575633735128,0.9,14569,20,42,False
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,macro_f1,True,0.2395924129005671,0.2974823597244084,-0.0578899468238413,-0.06452820622219287,-0.05208125902071917,-0.0578899468238413,-0.06452820622219287,-0.05208125902071917,0.0,14569,20,42,True
