method,baseline,metric,higher_is_better,n_seed_pairs,seeds,baseline_mean,method_mean,delta_method_minus_baseline,delta_ci_low,delta_ci_high,improvement_over_baseline,improvement_ci_low,improvement_ci_high,p_value_two_sided,wins_over_baseline,n_iterations,bootstrap_seed,significant_0.05
asl,bce,macro_f1,True,5,7 11 42 1701 1984,0.29336804762442475,0.28325408879654496,-0.010113958827879754,-0.026038868128580063,0.005948324811188332,-0.010113958827879754,-0.026038868128580063,0.005948324811188332,0.17,2,2000,42,False
asl,bce,micro_f1,True,5,7 11 42 1701 1984,0.3424870636854494,0.3305887539001507,-0.011898309785298733,-0.03025654548452873,0.006459925913931264,-0.011898309785298733,-0.03025654548452873,0.006459925913931264,0.193,2,2000,42,False
asl,bce,macro_auprc,True,5,7 11 42 1701 1984,0.23534219740720985,0.22353936975636035,-0.01180282765084949,-0.028381612264207694,0.006086832663193415,-0.01180282765084949,-0.028381612264207694,0.006086832663193415,0.17,2,2000,42,False
asl,bce,micro_auprc,True,5,7 11 42 1701 1984,0.28397530423320533,0.26139780403956536,-0.02257750019364,-0.040441204763592795,-0.003081863362539394,-0.02257750019364,-0.040441204763592795,-0.003081863362539394,0.023,1,2000,42,True
asl,bce,circular_error,False,5,7 11 42 1701 1984,0.13419525118917558,0.3735122867413548,0.23931703555217912,0.09949576236680209,0.3820483909724432,-0.23931703555217912,-0.3820483909724432,-0.09949576236680209,0.0,0,2000,42,True
asl,bce,opposite_value_activation,False,5,7 11 42 1701 1984,0.0487890453389242,0.14920842650745542,0.10041938116853122,0.04226974159231817,0.1587278498193224,-0.10041938116853122,-0.1587278498193224,-0.04226974159231817,0.0,0,2000,42,True
asl,bce,neighbor_error_rate,False,5,7 11 42 1701 1984,0.19147695574612292,0.1988914056084298,0.00741444986230686,0.001942259990936096,0.013582465031031315,-0.00741444986230686,-0.013582465031031315,-0.001942259990936096,0.0,0,2000,42,True
asl,bce,opposite_error_rate,False,5,7 11 42 1701 1984,0.5091620708691835,0.4818945370774707,-0.027267533791712806,-0.04286355219789957,-0.01089613543772947,0.027267533791712806,0.01089613543772947,0.04286355219789957,0.0,4,2000,42,True
asl,bce,confusion_distance_correlation,False,5,7 11 42 1701 1984,-0.13726488510288537,-0.12466561616153674,0.01259926894134861,0.0011534459520078561,0.022067726277649125,-0.01259926894134861,-0.022067726277649125,-0.0011534459520078561,0.02,1,2000,42,True
empirical_structure,bce,macro_f1,True,5,7 11 42 1701 1984,0.29336804762442475,0.2945210052604546,0.0011529576360298388,-0.0034148552314297144,0.005720770503489392,0.0011529576360298388,-0.0034148552314297144,0.005720770503489392,0.721,2,2000,42,False
empirical_structure,bce,micro_f1,True,5,7 11 42 1701 1984,0.3424870636854494,0.3401271899136433,-0.002359873771806076,-0.006668167752386256,0.000374114192747943,-0.002359873771806076,-0.006668167752386256,0.000374114192747943,0.186,1,2000,42,False
empirical_structure,bce,macro_auprc,True,5,7 11 42 1701 1984,0.23534219740720985,0.23557286574268693,0.0002306683354770911,-0.0030613937543729985,0.002910098574443731,0.0002306683354770911,-0.0030613937543729985,0.002910098574443731,0.878,3,2000,42,False
empirical_structure,bce,micro_auprc,True,5,7 11 42 1701 1984,0.28397530423320533,0.2834907587898433,-0.00048454544336201666,-0.002689504060727177,0.0017204131740031436,-0.00048454544336201666,-0.002689504060727177,0.0017204131740031436,0.66,2,2000,42,False
empirical_structure,bce,circular_error,False,5,7 11 42 1701 1984,0.13419525118917558,0.12690555384943172,-0.007289697339743886,-0.01441379039313311,-0.0011782132275111822,0.007289697339743886,0.0011782132275111822,0.01441379039313311,0.008,4,2000,42,True
empirical_structure,bce,opposite_value_activation,False,5,7 11 42 1701 1984,0.0487890453389242,0.045586149935373,-0.003202895403551201,-0.005688968798704057,-0.0006493447481875538,0.003202895403551201,0.0006493447481875538,0.005688968798704057,0.016,4,2000,42,True
empirical_structure,bce,neighbor_error_rate,False,5,7 11 42 1701 1984,0.19147695574612292,0.19261626834478962,0.0011393125986667086,-0.0001819539551675333,0.00243012877222219,-0.0011393125986667086,-0.00243012877222219,0.0001819539551675333,0.09,2,2000,42,False
empirical_structure,bce,opposite_error_rate,False,5,7 11 42 1701 1984,0.5091620708691835,0.5129968032650277,0.0038347323958441313,-0.003267170898582894,0.011049720888753067,-0.0038347323958441313,-0.011049720888753067,0.003267170898582894,0.279,2,2000,42,False
empirical_structure,bce,confusion_distance_correlation,False,5,7 11 42 1701 1984,-0.13726488510288537,-0.13967872744022566,-0.0024138423373403243,-0.01647372182001106,0.008362864714622803,0.0024138423373403243,-0.008362864714622803,0.01647372182001106,0.837,1,2000,42,False
random_geoloss,bce,macro_f1,True,5,7 11 42 1701 1984,0.29336804762442475,0.2948860389099229,0.0015179912854981436,-0.0023427741430727235,0.005663789231931605,0.0015179912854981436,-0.0023427741430727235,0.005663789231931605,0.488,2,2000,42,False
random_geoloss,bce,micro_f1,True,5,7 11 42 1701 1984,0.3424870636854494,0.34386774661291486,0.001380682927465382,-0.006055548700600444,0.007663241351931238,0.001380682927465382,-0.006055548700600444,0.007663241351931238,0.64,3,2000,42,False
random_geoloss,bce,macro_auprc,True,5,7 11 42 1701 1984,0.23534219740720985,0.23528931893471078,-5.287847249911826e-05,-0.0037627673173535937,0.003657010372355357,-5.287847249911826e-05,-0.0037627673173535937,0.003657010372355357,0.775,2,2000,42,False
random_geoloss,bce,micro_auprc,True,5,7 11 42 1701 1984,0.28397530423320533,0.28559252114414224,0.0016172169109368694,-0.006044254678229122,0.009087926700135784,0.0016172169109368694,-0.006044254678229122,0.009087926700135784,0.661,3,2000,42,False
random_geoloss,bce,circular_error,False,5,7 11 42 1701 1984,0.13419525118917558,0.12728686705152964,-0.006908384137645954,-0.016517738828588546,0.0004775210909803068,0.006908384137645954,-0.0004775210909803068,0.016517738828588546,0.097,4,2000,42,False
random_geoloss,bce,opposite_value_activation,False,5,7 11 42 1701 1984,0.0487890453389242,0.0463165464040662,-0.0024724989348579975,-0.006535633117905874,0.0001804539325150817,0.0024724989348579975,-0.0001804539325150817,0.006535633117905874,0.101,3,2000,42,False
random_geoloss,bce,neighbor_error_rate,False,5,7 11 42 1701 1984,0.19147695574612292,0.18820080946760948,-0.0032761462785134534,-0.006964109172386218,0.0003963941887309127,0.0032761462785134534,-0.0003963941887309127,0.006964109172386218,0.116,3,2000,42,False
random_geoloss,bce,opposite_error_rate,False,5,7 11 42 1701 1984,0.5091620708691835,0.5081290738364753,-0.0010329970327081495,-0.006010139087171318,0.004209070859721409,0.0010329970327081495,-0.004209070859721409,0.006010139087171318,0.673,2,2000,42,False
random_geoloss,bce,confusion_distance_correlation,False,5,7 11 42 1701 1984,-0.13726488510288537,-0.1233223254831397,0.013942559619745633,0.00772165680674416,0.020613609391008765,-0.013942559619745633,-0.020613609391008765,-0.00772165680674416,0.0,0,2000,42,True
schwartz_geoloss,bce,macro_f1,True,5,7 11 42 1701 1984,0.29336804762442475,0.29584875410782574,0.002480706483401085,-0.0010204760992456486,0.006135027550596894,0.002480706483401085,-0.0010204760992456486,0.006135027550596894,0.191,3,2000,42,False
schwartz_geoloss,bce,micro_f1,True,5,7 11 42 1701 1984,0.3424870636854494,0.342096094296661,-0.00039096938878839803,-0.004830989326057622,0.004160429128148141,-0.00039096938878839803,-0.004830989326057622,0.004160429128148141,0.809,2,2000,42,False
schwartz_geoloss,bce,macro_auprc,True,5,7 11 42 1701 1984,0.23534219740720985,0.23560300062450054,0.0002608032172907171,-0.0016305461624022744,0.002533264880434405,0.0002608032172907171,-0.0016305461624022744,0.002533264880434405,0.882,2,2000,42,False
schwartz_geoloss,bce,micro_auprc,True,5,7 11 42 1701 1984,0.28397530423320533,0.2885080764723772,0.004532772239171823,-0.001396305172500878,0.011794726845454628,0.004532772239171823,-0.001396305172500878,0.011794726845454628,0.151,4,2000,42,False
schwartz_geoloss,bce,circular_error,False,5,7 11 42 1701 1984,0.13419525118917558,0.13045121737087195,-0.003744033818303652,-0.008617210654882208,0.0008288610706642747,0.003744033818303652,-0.0008288610706642747,0.008617210654882208,0.164,4,2000,42,False
schwartz_geoloss,bce,opposite_value_activation,False,5,7 11 42 1701 1984,0.0487890453389242,0.046962506201985804,-0.0018265391369383945,-0.0034892520902946615,-0.00016382618358212753,0.0018265391369383945,0.00016382618358212753,0.0034892520902946615,0.022,3,2000,42,True
schwartz_geoloss,bce,neighbor_error_rate,False,5,7 11 42 1701 1984,0.19147695574612292,0.1907332872793761,-0.0007436684667468218,-0.0071367028141902655,0.0056493658806966215,0.0007436684667468218,-0.0056493658806966215,0.0071367028141902655,0.661,3,2000,42,False
schwartz_geoloss,bce,opposite_error_rate,False,5,7 11 42 1701 1984,0.5091620708691835,0.5093620147174902,0.0001999438483067162,-0.007549594319044117,0.0077954275259918045,-0.0001999438483067162,-0.0077954275259918045,0.007549594319044117,0.947,2,2000,42,False
schwartz_geoloss,bce,confusion_distance_correlation,False,5,7 11 42 1701 1984,-0.13726488510288537,-0.12939457790912118,0.007870307193764184,-0.004254824034616142,0.01999543842214451,-0.007870307193764184,-0.01999543842214451,0.004254824034616142,0.242,2,2000,42,False
schwartz_geosmooth,bce,macro_f1,True,5,7 11 42 1701 1984,0.29336804762442475,0.1651295834921921,-0.12823846413223264,-0.13431918756916822,-0.12215774069529706,-0.12823846413223264,-0.13431918756916822,-0.12215774069529706,0.0,0,2000,42,True
schwartz_geosmooth,bce,micro_f1,True,5,7 11 42 1701 1984,0.3424870636854494,0.1656359916119556,-0.17685107207349382,-0.18768232280432423,-0.16625041054106432,-0.17685107207349382,-0.18768232280432423,-0.16625041054106432,0.0,0,2000,42,True
