method,model_name,split,threshold_source,seed,circular_error,opposite_value_activation,neighbor_error_rate,opposite_error_rate,confusion_distance_correlation,source_file
asl,microsoft/deberta-v3-base,test,provided,11,0.5687114552214211,0.23080800315641362,0.20397015720756728,0.48081534772182255,-0.14673087296729434,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,provided,1701,0.2784874256260358,0.11153465782121627,0.19413273485091376,0.4948701506893235,-0.1255749900259079,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,provided,1984,0.5705900739135945,0.22876507487962594,0.1936842105263158,0.4927485380116959,-0.12139837370806553,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,provided,42,0.24980030997285277,0.09466495641137374,0.20145920190589636,0.46813579511614056,-0.12673301019061275,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,provided,7,0.19997216897286949,0.08026944026864752,0.20121072355145575,0.4729028538483713,-0.10289083391580317,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,provided,11,0.11382629584847745,0.04154926357330835,0.1850538315389487,0.5099430018999367,-0.1399785541700214,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,provided,1701,0.13842230956077592,0.05071661632618219,0.1938631403261009,0.4932597252535627,-0.13024128840343852,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,provided,1984,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136,results/logs/deberta_bce_seed1984_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,provided,42,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692254,results/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,provided,7,0.1439237433935628,0.054112345851427046,0.1912719403702813,0.5159894205337822,-0.1242487216901307,results/logs/deberta_bce_seed7_deberta-v3-base_test_metrics.json
empirical_structure,microsoft/deberta-v3-base,test,provided,11,0.11154104020015214,0.040316491944444956,0.18417874396135267,0.5251207729468599,-0.1394974461941524,results/logs/deberta_empirical_structure_seed11_deberta-v3-base_test_metrics.json
empirical_structure,microsoft/deberta-v3-base,test,provided,1701,0.12619686556034482,0.04497085734412996,0.19484508547008547,0.4953258547008547,-0.12865371927434335,results/logs/deberta_empirical_structure_seed1701_deberta-v3-base_test_metrics.json
empirical_structure,microsoft/deberta-v3-base,test,provided,1984,0.12847593536964133,0.045102493898220054,0.1922788203753351,0.501769436997319,-0.13261756529362811,results/logs/deberta_empirical_structure_seed1984_deberta-v3-base_test_metrics.json
empirical_structure,microsoft/deberta-v3-base,test,provided,42,0.12857303577120552,0.04656630776772372,0.19743530499075784,0.5153650646950092,-0.145230422680534,results/logs/deberta_empirical_structure_seed42_deberta-v3-base_test_metrics.json
empirical_structure,microsoft/deberta-v3-base,test,provided,7,0.1397408923458148,0.050974598722346325,0.1943433869264171,0.5274028869850956,-0.1523944837584705,results/logs/deberta_empirical_structure_seed7_deberta-v3-base_test_metrics.json
random_geoloss,microsoft/deberta-v3-base,test,provided,11,0.1169633819470606,0.04158776322096202,0.1866566716641679,0.5108695652173914,-0.1291486853428967,results/logs/deberta_random_geoloss_seed11_deberta-v3-base_test_metrics.json
random_geoloss,microsoft/deberta-v3-base,test,provided,1701,0.13782997141274056,0.049832994953547795,0.18874382050957028,0.5019647610597033,-0.1103892696755487,results/logs/deberta_random_geoloss_seed1701_deberta-v3-base_test_metrics.json
random_geoloss,microsoft/deberta-v3-base,test,provided,1984,0.1389477423071654,0.050218860849237164,0.19473558837541685,0.5029776083849452,-0.14018194825652275,results/logs/deberta_random_geoloss_seed1984_deberta-v3-base_test_metrics.json
random_geoloss,microsoft/deberta-v3-base,test,provided,42,0.12443999722159012,0.04641116346526706,0.18745570517363572,0.5083864871249705,-0.12043392185650693,results/logs/deberta_random_geoloss_seed42_deberta-v3-base_test_metrics.json
random_geoloss,microsoft/deberta-v3-base,test,provided,7,0.1182532423690916,0.04353194953131699,0.18341226161525662,0.5164469473953667,-0.1164578022842235,results/logs/deberta_random_geoloss_seed7_deberta-v3-base_test_metrics.json
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,11,0.11867576640313376,0.041712164495966514,0.1925373134328358,0.511318407960199,-0.145989689783783,results/logs/deberta_schwartz_geoloss_seed11_deberta-v3-base_test_metrics.json
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,1701,0.13149574058587213,0.04655151622122795,0.18899312070043778,0.5046904315196998,-0.11979020423286656,results/logs/deberta_schwartz_geoloss_seed1701_deberta-v3-base_test_metrics.json
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,1984,0.13565676370153693,0.04809824846634128,0.20153458817887543,0.5032969667905527,-0.15613170301197835,results/logs/deberta_schwartz_geoloss_seed1984_deberta-v3-base_test_metrics.json
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,42,0.12360674469118983,0.04563024645243843,0.1863494455807945,0.5041446872645065,-0.11531220703088851,results/logs/deberta_schwartz_geoloss_seed42_deberta-v3-base_test_metrics.json
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,7,0.14282107147262713,0.052820355373954866,0.18425196850393702,0.5233595800524934,-0.10974908548608943,results/logs/deberta_schwartz_geoloss_seed7_deberta-v3-base_test_metrics.json
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,11,0.7426564648151533,0.2557614319942235,0.3892537730575741,0.2967789267747345,-0.4121463445499033,results/logs/deberta_schwartz_geosmooth_seed11_deberta-v3-base_test_metrics.json
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,1701,0.8073729060034711,0.25747460120006743,0.4368618802581067,0.3059299191374663,-0.42583400497751595,results/logs/deberta_schwartz_geosmooth_seed1701_deberta-v3-base_test_metrics.json
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,1984,0.6559526120585564,0.2170689928219006,0.45370766234383164,0.28288442354282456,-0.40692655667113087,results/logs/deberta_schwartz_geosmooth_seed1984_deberta-v3-base_test_metrics.json
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,42,0.6706358286192586,0.216309455690154,0.41769414621192,0.3014150764444782,-0.36846662315312406,results/logs/deberta_schwartz_geosmooth_seed42_deberta-v3-base_test_metrics.json
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,7,0.6172350363604545,0.19911248719493088,0.4061042997755137,0.2889397340701088,-0.3541889907204766,results/logs/deberta_schwartz_geosmooth_seed7_deberta-v3-base_test_metrics.json
