comparison,main_paper_comparison,condition_a,condition_b_family,metric,higher_is_better,n_comparisons,score_a_mean,score_a_std,score_b_mean,score_b_std,delta_a_minus_b_mean,delta_a_minus_b_std,improvement_a_over_b_mean,improvement_a_over_b_std,p_value_two_sided_mean,p_value_two_sided_std,significant_0.05_count,significant_0.05_total,min_improvement_ci_low,max_improvement_ci_high,max_p_value
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,decoder_geometry_cost,False,5,0.5633430836399489,0.0,0.5633741392739839,0.012010380056060067,-3.1055634035070946e-05,0.012010380056060067,3.1055634035070946e-05,0.012010380056060067,0.46340000000000003,0.24900863438844845,1,5,-0.027499016805777342,0.03826068641759585,0.623
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,macro_f1,True,5,0.2395924129005671,0.0,0.29336804781345555,0.0036821442085292967,-0.05377563491288848,0.0036821442085292967,-0.05377563491288848,0.0036821442085292967,0.0,0.0,5,5,-0.06689060255103363,-0.03577171033319087,0.0
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,micro_f1,True,5,0.2643078796457636,0.0,0.34248705885108616,0.006006003193854095,-0.07817917920532258,0.006006003193854095,-0.07817917920532258,0.006006003193854095,0.0,0.0,5,5,-0.09251564438526291,-0.06338066793134016,0.0
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding,opposite_error_rate,False,5,0.5321758389472961,0.0,0.5091620683670044,0.009644823660234664,0.023013770580291748,0.009644823660234664,-0.023013770580291748,0.009644823660234664,0.0014,0.0026076809620810596,5,5,-0.051102107018232326,-0.003039129078388214,0.006
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,decoder_geometry_cost,False,1,0.5633430836399489,0.0,0.5757443684383586,0.0,-0.01240128479840974,0.0,0.01240128479840974,0.0,0.01,0.0,1,1,0.0033835278891037874,0.02174878543462922,0.01
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,macro_f1,True,1,0.2395924129005671,0.0,0.24295939842614378,0.0,-0.0033669855255766823,0.0,-0.0033669855255766823,0.0,0.274,0.0,0,1,-0.009106404059552578,0.002604666846268601,0.274
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,micro_f1,True,1,0.2643078796457636,0.0,0.2730267336123114,0.0,-0.008718853966547813,0.0,-0.008718853966547813,0.0,0.0,0.0,1,1,-0.013320794834179358,-0.00413536530095866,0.0
qwen_continuum_vs_qwen_definitions,True,qwen_continuum,llm,opposite_error_rate,False,1,0.5321758389472961,0.0,0.5214343667030334,0.0,0.010741472244262695,0.0,-0.010741472244262695,0.0,0.0,0.0,1,1,-0.016251243650913235,-0.0052938699722290036,0.0
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder,decoder_geometry_cost,False,5,0.5633430836399489,0.0,0.5480157004128082,0.012965334020813199,0.015327383227140756,0.012965334020813199,-0.015327383227140756,0.012965334020813199,0.20259999999999997,0.22376840706408938,1,5,-0.04678725645920521,0.024260322086138368,0.517
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder,macro_f1,True,5,0.2395924129005671,0.0,0.29432151304832976,0.003411655840205323,-0.054729100147762645,0.003411655840205323,-0.054729100147762645,0.003411655840205323,0.0,0.0,5,5,-0.06794995519382858,-0.03709836144566429,0.0
