method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
asl,microsoft/deberta-v3-base,test,11,provided,Self-direction: thought,0.10029498525073746,0.06557720668996476,171.0,168.0,0.011737250326034732,0.011531333653648158,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Self-direction: action,0.19290465631929046,0.14417574653272963,512.0,390.0,0.03514311208730867,0.02676916741025465,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Stimulation,0.27114093959731544,0.19672360356201896,371.0,374.0,0.02546502848513968,0.025670945157526253,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Hedonism,0.30000000000000004,0.22544433382512363,125.0,115.0,0.008579861349440594,0.007893472441485345,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Achievement,0.3687041564792176,0.3314992114024,911.0,1134.0,0.06253002951472304,0.07783650216212507,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Power: dominance,0.35021888680425267,0.2804920330697739,631.0,968.0,0.04331114009197611,0.06644244629006796,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Power: resources,0.3913253012048193,0.33321483043398437,805.0,1270.0,0.05525430709039742,0.08717139131031643,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Face,0.2829268292682927,0.20862537673357878,267.0,348.0,0.018326583842405108,0.02388633399684261,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Security: personal,0.35072463768115947,0.29002723357638666,352.0,338.0,0.02416088956002471,0.023199945088887362,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Security: societal,0.4277821625887924,0.38959702729976325,1151.0,1383.0,0.07900336330564899,0.09492758597021073,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Tradition,0.4277456647398844,0.4186241248841578,196.0,323.0,0.01345322259592285,0.022170361726954493,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Conformity: rules,0.4247635425623388,0.39575330135619674,911.0,1415.0,0.06253002951472304,0.09712403047566752,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Conformity: interpersonal,0.1258503401360544,0.0638208668461131,195.0,393.0,0.013384583705127325,0.026975084082641224,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Humility,0.047619047619047616,0.017609589590729856,30.0,96.0,0.0020591667238657424,0.0065893335163703754,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Benevolence: caring,0.2291891891891892,0.17300655305718385,324.0,601.0,0.022239000617750016,0.04125197336811037,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Benevolence: dependability,0.30484330484330485,0.22297756393980434,288.0,414.0,0.019768000549111125,0.028416500789347245,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Universalism: concern,0.42709053213545267,0.3939098435038599,735.0,712.0,0.05044958473471069,0.04887089024641362,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Universalism: nature,0.5700325732899022,0.5145780904918607,293.0,321.0,0.02011119500308875,0.022033083945363442,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,11,provided,Universalism: tolerance,0.20809248554913293,0.1417418340012374,171.0,175.0,0.011737250326034732,0.01201180588921683,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Self-direction: thought,0.0656934306569343,0.04929530147127532,171.0,103.0,0.011737250326034732,0.0070698057519390485,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Self-direction: action,0.1752988047808765,0.11206539073653134,512.0,492.0,0.03514311208730867,0.033770334271398174,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Stimulation,0.23891625615763548,0.16336409245396177,371.0,441.0,0.02546502848513968,0.030269750840826413,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
