method,model_name,split,threshold_source,label,f1_mean,f1_std,f1_count,auprc_mean,auprc_std,auprc_count,gold_mean,gold_std,gold_count,pred_mean,pred_std,pred_count,gold_rate_mean,gold_rate_std,gold_rate_count,pred_rate_mean,pred_rate_std,pred_rate_count,f1_mean_std,auprc_mean_std,gold_mean_std,pred_mean_std,gold_rate_mean_std,pred_rate_mean_std
asl,microsoft/deberta-v3-base,test,provided,Achievement,0.3499877581386895,0.02060226351383579,5,0.29964731425946795,0.03184433787315242,5,911.0,0.0,5,1101.0,181.39597569957277,5,0.06253002951472304,0.0,5,0.07557141876587274,0.01245081856679064,5,0.3500 ± 0.0206,0.2996 ± 0.0318,911.0000 ± 0.0000,1101.0000 ± 181.3960,0.0625 ± 0.0000,0.0756 ± 0.0125
asl,microsoft/deberta-v3-base,test,provided,Benevolence: caring,0.20857436488384257,0.03543157448398951,5,0.13637276123679504,0.038862663601344945,5,324.0,0.0,5,518.0,158.5118292115765,5,0.022239000617750016,0.0,5,0.03555494543208182,0.01088007613505227,5,0.2086 ± 0.0354,0.1364 ± 0.0389,324.0000 ± 0.0000,518.0000 ± 158.5118,0.0222 ± 0.0000,0.0356 ± 0.0109
asl,microsoft/deberta-v3-base,test,provided,Benevolence: dependability,0.2665339340763133,0.02634271797392417,5,0.18538573461269284,0.032624645660805036,5,288.0,0.0,5,293.8,79.58454623857574,5,0.019768000549111125,0.0,5,0.02016610611572517,0.005462594978280992,5,0.2665 ± 0.0263,0.1854 ± 0.0326,288.0000 ± 0.0000,293.8000 ± 79.5845,0.0198 ± 0.0000,0.0202 ± 0.0055
asl,microsoft/deberta-v3-base,test,provided,Conformity: interpersonal,0.113383064959834,0.018787669296699436,5,0.06174356776285095,0.015720384530864964,5,195.0,0.0,5,284.2,79.07401595973231,5,0.013384583705127327,0.0,5,0.019507172764088133,0.005427552746223647,5,0.1134 ± 0.0188,0.0617 ± 0.0157,195.0000 ± 0.0000,284.2000 ± 79.0740,0.0134 ± 0.0000,0.0195 ± 0.0054
asl,microsoft/deberta-v3-base,test,provided,Conformity: rules,0.4027561132172613,0.025254557028143818,5,0.35729673745272306,0.04213421488307041,5,911.0,0.0,5,1085.6,251.79912628919107,5,0.06253002951472304,0.0,5,0.07451437984762166,0.01728321273177233,5,0.4028 ± 0.0253,0.3573 ± 0.0421,911.0000 ± 0.0000,1085.6000 ± 251.7991,0.0625 ± 0.0000,0.0745 ± 0.0173
asl,microsoft/deberta-v3-base,test,provided,Face,0.21474458261066126,0.05338381791566393,5,0.14101199196180372,0.04626257061726179,5,267.0,0.0,5,250.0,68.23855215345648,5,0.018326583842405108,0.0,5,0.017159722698881184,0.004683818529305819,5,0.2147 ± 0.0534,0.1410 ± 0.0463,267.0000 ± 0.0000,250.0000 ± 68.2386,0.0183 ± 0.0000,0.0172 ± 0.0047
asl,microsoft/deberta-v3-base,test,provided,Hedonism,0.24164560982495767,0.06161497149560587,5,0.16600281280006393,0.054319212762872736,5,125.0,0.0,5,94.4,37.078295537955896,5,0.008579861349440594,0.0,5,0.006479511291097535,0.002545013078313947,5,0.2416 ± 0.0616,0.1660 ± 0.0543,125.0000 ± 0.0000,94.4000 ± 37.0783,0.0086 ± 0.0000,0.0065 ± 0.0025
asl,microsoft/deberta-v3-base,test,provided,Humility,0.05100267019642448,0.01021263472323231,5,0.02745197161652862,0.009652692818674419,5,30.0,0.0,5,165.0,110.35397591387454,5,0.0020591667238657424,0.0,5,0.011325416981261582,0.007574574501604401,5,0.0510 ± 0.0102,0.0275 ± 0.0097,30.0000 ± 0.0000,165.0000 ± 110.3540,0.0021 ± 0.0000,0.0113 ± 0.0076
asl,microsoft/deberta-v3-base,test,provided,Power: dominance,0.32032110606893927,0.022246992853108924,5,0.23678763964177985,0.03343659417127809,5,631.0,0.0,5,808.8,315.21928874991136,5,0.04331114009197611,0.0,5,0.05551513487542041,0.02163630233714815,5,0.3203 ± 0.0222,0.2368 ± 0.0334,631.0000 ± 0.0000,808.8000 ± 315.2193,0.0433 ± 0.0000,0.0555 ± 0.0216
asl,microsoft/deberta-v3-base,test,provided,Power: resources,0.35732209623514644,0.02785270955037142,5,0.28888387243558744,0.03693165124436329,5,805.0,0.0,5,1216.0,271.9191056178289,5,0.05525430709039743,0.0,5,0.08346489120735809,0.018664225795718917,5,0.3573 ± 0.0279,0.2889 ± 0.0369,805.0000 ± 0.0000,1216.0000 ± 271.9191,0.0553 ± 0.0000,0.0835 ± 0.0187
asl,microsoft/deberta-v3-base,test,provided,Security: personal,0.32009703991216615,0.025636907955682346,5,0.23738259864986228,0.03505636061724831,5,352.0,0.0,5,331.6,48.00833261007926,5,0.02416088956002471,0.0,5,0.022760656187796005,0.0032952386992984597,5,0.3201 ± 0.0256,0.2374 ± 0.0351,352.0000 ± 0.0000,331.6000 ± 48.0083,0.0242 ± 0.0000,0.0228 ± 0.0033
