method,model_name,split,seed,threshold_source,source_file,micro_f1,macro_f1,macro_auprc,micro_auprc,circular_error,opposite_value_activation,neighbor_error_rate,opposite_error_rate,confusion_distance_correlation
asl,microsoft/deberta-v3-base,test,11,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,0.35423440161015635,0.30532890711885186,0.25302096688404563,0.28983717087666644,0.5687114552214211,0.23080800315641362,0.20397015720756728,0.48081534772182255,-0.14673087296729434
asl,microsoft/deberta-v3-base,test,1701,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,0.310658379373849,0.2644032541931331,0.2057206697687724,0.23699918653053598,0.2784874256260358,0.11153465782121627,0.19413273485091376,0.4948701506893235,-0.1255749900259079
asl,microsoft/deberta-v3-base,test,1984,provided,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json,0.35361953677681945,0.3024572224364529,0.24637065962507146,0.29404731007021667,0.5705900739135945,0.22876507487962594,0.1936842105263158,0.4927485380116959,-0.12139837370806553
asl,microsoft/deberta-v3-base,test,42,provided,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json,0.3232837307075289,0.2759772384232524,0.20842090534240534,0.2437460250640799,0.24980030997285277,0.09466495641137374,0.20145920190589636,0.46813579511614056,-0.12673301019061275
asl,microsoft/deberta-v3-base,test,7,provided,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json,0.3111477210323998,0.26810382181103454,0.204163647161507,0.24235932765632792,0.19997216897286949,0.08026944026864752,0.20121072355145575,0.4729028538483713,-0.10289083391580317
bce,microsoft/deberta-v3-base,test,11,provided,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json,0.34885013899418754,0.295947691274214,0.2460355151274507,0.30047407226307227,0.11382629584847745,0.04154926357330835,0.1850538315389487,0.5099430018999367,-0.1399785541700214
bce,microsoft/deberta-v3-base,test,1701,provided,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json,0.3434054716210698,0.29376666084554354,0.23144312852735652,0.27945112350723506,0.13842230956077592,0.05071661632618219,0.1938631403261009,0.4932597252535627,-0.13024128840343852
bce,microsoft/deberta-v3-base,test,1984,provided,results/logs/deberta_bce_seed1984_deberta-v3-base_test_metrics.json,0.3364108482400462,0.28714713938201364,0.22998026951908604,0.281487469553414,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136
bce,microsoft/deberta-v3-base,test,42,provided,results/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json,0.33617000344335674,0.29630508385730386,0.23129280425502247,0.2711608814433096,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692254
bce,microsoft/deberta-v3-base,test,7,provided,results/logs/deberta_bce_seed7_deberta-v3-base_test_metrics.json,0.3475988561285869,0.2936736627630485,0.23795926960713357,0.287302974398996,0.1439237433935628,0.054112345851427046,0.1912719403702813,0.5159894205337822,-0.1242487216901307
empirical_structure,microsoft/deberta-v3-base,test,11,provided,results/logs/deberta_empirical_structure_seed11_deberta-v3-base_test_metrics.json,0.3475983395928049,0.30335884787848055,0.24476360032492614,0.29742717808529834,0.11154104020015214,0.040316491944444956,0.18417874396135267,0.5251207729468599,-0.1394974461941524
empirical_structure,microsoft/deberta-v3-base,test,1701,provided,results/logs/deberta_empirical_structure_seed1701_deberta-v3-base_test_metrics.json,0.34214635161861146,0.2935517963666069,0.23304773295265999,0.27612706935703685,0.12619686556034482,0.04497085734412996,0.19484508547008547,0.4953258547008547,-0.12865371927434335
empirical_structure,microsoft/deberta-v3-base,test,1984,provided,results/logs/deberta_empirical_structure_seed1984_deberta-v3-base_test_metrics.json,0.33787134502923977,0.2941453412759389,0.23353139120533092,0.2851171825295481,0.12847593536964133,0.045102493898220054,0.1922788203753351,0.501769436997319,-0.13261756529362811
empirical_structure,microsoft/deberta-v3-base,test,42,provided,results/logs/deberta_empirical_structure_seed42_deberta-v3-base_test_metrics.json,0.33609110375705664,0.28935781264014054,0.22564051208617142,0.27045525779561796,0.12857303577120552,0.04656630776772372,0.19743530499075784,0.5153650646950092,-0.145230422680534
empirical_structure,microsoft/deberta-v3-base,test,7,provided,results/logs/deberta_empirical_structure_seed7_deberta-v3-base_test_metrics.json,0.33692880957050403,0.2921912281411059,0.24088109214434628,0.2883271061817156,0.1397408923458148,0.050974598722346325,0.1943433869264171,0.5274028869850956,-0.1523944837584705
random_geoloss,microsoft/deberta-v3-base,test,11,provided,results/logs/deberta_random_geoloss_seed11_deberta-v3-base_test_metrics.json,0.35775280898876405,0.3048185916607751,0.24470834238359915,0.29834771645482683,0.1169633819470606,0.04158776322096202,0.1866566716641679,0.5108695652173914,-0.1291486853428967
random_geoloss,microsoft/deberta-v3-base,test,1701,provided,results/logs/deberta_random_geoloss_seed1701_deberta-v3-base_test_metrics.json,0.34174579799928906,0.2932125773961335,0.23623340436097193,0.28198810229448606,0.13782997141274056,0.049832994953547795,0.18874382050957028,0.5019647610597033,-0.1103892696755487
random_geoloss,microsoft/deberta-v3-base,test,1984,provided,results/logs/deberta_random_geoloss_seed1984_deberta-v3-base_test_metrics.json,0.34023464458247066,0.2920001725053301,0.2349961059882848,0.287099321737277,0.1389477423071654,0.050218860849237164,0.19473558837541685,0.5029776083849452,-0.14018194825652275
random_geoloss,microsoft/deberta-v3-base,test,42,provided,results/logs/deberta_random_geoloss_seed42_deberta-v3-base_test_metrics.json,0.3445135386573961,0.294558913647381,0.2298680822317023,0.28514559381833005,0.12443999722159012,0.04641116346526706,0.18745570517363572,0.5083864871249705,-0.12043392185650693
random_geoloss,microsoft/deberta-v3-base,test,7,provided,results/logs/deberta_random_geoloss_seed7_deberta-v3-base_test_metrics.json,0.3350919428366542,0.2898399393399946,0.23064065970899553,0.27538187141579135,0.1182532423690916,0.04353194953131699,0.18341226161525662,0.5164469473953667,-0.1164578022842235
schwartz_geoloss,microsoft/deberta-v3-base,test,11,provided,results/logs/deberta_schwartz_geoloss_seed11_deberta-v3-base_test_metrics.json,0.35678316797128184,0.3047625520628521,0.24359239187380508,0.2953309816876904,0.11867576640313376,0.041712164495966514,0.1925373134328358,0.511318407960199,-0.145989689783783
schwartz_geoloss,microsoft/deberta-v3-base,test,1701,provided,results/logs/deberta_schwartz_geoloss_seed1701_deberta-v3-base_test_metrics.json,0.3373969345945672,0.29248263263753904,0.23572051080349848,0.2839920234812898,0.13149574058587213,0.04655151622122795,0.18899312070043778,0.5046904315196998,-0.11979020423286656
schwartz_geoloss,microsoft/deberta-v3-base,test,1984,provided,results/logs/deberta_schwartz_geoloss_seed1984_deberta-v3-base_test_metrics.json,0.3390249938134125,0.29266172297708837,0.23126547899029778,0.2853943154430005,0.13565676370153693,0.04809824846634128,0.20153458817887543,0.5032969667905527,-0.15613170301197835
schwartz_geoloss,microsoft/deberta-v3-base,test,42,provided,results/logs/deberta_schwartz_geoloss_seed42_deberta-v3-base_test_metrics.json,0.33532090708483964,0.2944126435357875,0.23092838374523358,0.2886976456161189,0.12360674469118983,0.04563024645243843,0.1863494455807945,0.5041446872645065,-0.11531220703088851
schwartz_geoloss,microsoft/deberta-v3-base,test,7,provided,results/logs/deberta_schwartz_geoloss_seed7_deberta-v3-base_test_metrics.json,0.341954468019204,0.294924219325862,0.23650823770966795,0.28912541613378645,0.14282107147262713,0.052820355373954866,0.18425196850393702,0.5233595800524934,-0.10974908548608943
schwartz_geosmooth,microsoft/deberta-v3-base,test,11,provided,results/logs/deberta_schwartz_geosmooth_seed11_deberta-v3-base_test_metrics.json,0.1514713216957606,0.15666034549707858,0.11003319513906455,0.1244750820023517,0.7426564648151533,0.2557614319942235,0.3892537730575741,0.2967789267747345,-0.4121463445499033
schwartz_geosmooth,microsoft/deberta-v3-base,test,1701,provided,results/logs/deberta_schwartz_geosmooth_seed1701_deberta-v3-base_test_metrics.json,0.17342098693517516,0.17361026914253827,0.12400026666418971,0.14584514676385651,0.8073729060034711,0.25747460120006743,0.4368618802581067,0.3059299191374663,-0.42583400497751595
schwartz_geosmooth,microsoft/deberta-v3-base,test,1984,provided,results/logs/deberta_schwartz_geosmooth_seed1984_deberta-v3-base_test_metrics.json,0.17794253938832252,0.166551199979266,0.12087177905157334,0.1298613105543712,0.6559526120585564,0.2170689928219006,0.45370766234383164,0.28288442354282456,-0.40692655667113087
schwartz_geosmooth,microsoft/deberta-v3-base,test,42,provided,results/logs/deberta_schwartz_geosmooth_seed42_deberta-v3-base_test_metrics.json,0.15995558258202683,0.1670210425923244,0.11951154861802862,0.1367936803526745,0.6706358286192586,0.216309455690154,0.41769414621192,0.3014150764444782,-0.36846662315312406
schwartz_geosmooth,microsoft/deberta-v3-base,test,7,provided,results/logs/deberta_schwartz_geosmooth_seed7_deberta-v3-base_test_metrics.json,0.16538952745849297,0.16180506024975316,0.11651812238407472,0.133575923520924,0.6172350363604545,0.19911248719493088,0.4061042997755137,0.2889397340701088,-0.3541889907204766
