method,seed,model_slug,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,7,deberta-v3-base,standard,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,f1,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,pareto_99,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.30216519290594374,0.3542160514730782,0.2288535265565217,0.27706447080727387,0.30734291690070104,0.11968691813276754,0.1728777235385165,0.525657816406715,-0.09199248659204233,0.6065430533531893,12060.0,0.04258835494533435,0.2943628315106296,0.34822089522775507,0.23512684013224416,0.28064444075754685,0.30010697867988234,0.11396784859500882,0.19431051108968178,0.5130183220829315,-0.13837182959361163,0.5689570035790017,11824.0,0.04271506551401498
bce,7,deberta-v3-base,pareto_98,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.02,0.30019036982915975,0.3536727555382822,0.22882562466468118,0.2770938774298241,0.304484826051279,0.1185432789373771,0.17256690267610705,0.5265810632425297,-0.09291140914283592,0.6062365567758009,11973.0,0.04228112551911179,0.29419246472209787,0.34829567974633374,0.23507398909896152,0.2806155870727003,0.29730571513909676,0.11287606243965842,0.1939246658566221,0.513730255164034,-0.1387950770701493,0.5688598439505069,11745.0,0.04242967223123358
bce,7,deberta-v3-base,pareto_95,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.02,0.30019036982915975,0.3536727555382822,0.22882562466468118,0.2770938774298241,0.304484826051279,0.1185432789373771,0.17256690267610705,0.5265810632425297,-0.09291140914283592,0.6062365567758009,11973.0,0.04228112551911179,0.29419246472209787,0.34829567974633374,0.23507398909896152,0.2806155870727003,0.29730571513909676,0.11287606243965842,0.1939246658566221,0.513730255164034,-0.1387950770701493,0.5688598439505069,11745.0,0.04242967223123358
bce,11,deberta-v3-base,standard,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.31588999353635394,0.3623724301138885,0.24528605104717605,0.30391036408868977,0.11693045269784727,0.04343668584918045,0.1783168688258097,0.508690759034638,-0.09009803167655618,0.5969095961838915,11672.0,0.04121818233183603,0.295947691274214,0.34885013899418754,0.24603551512745064,0.30047407226307216,0.11382629584847742,0.04154926357330836,0.1850538315389487,0.5099430018999367,-0.13997855417002122,0.5550182792688642,11346.0,0.04098825552452757
bce,11,deberta-v3-base,f1,8,8,5,0.5,0.01,1.0,2,0.0,0.05,0.0,0.31614088811755525,0.3627358724184042,0.2425820683880914,0.2931564306030187,0.3102209599547328,0.12408564608213989,0.17832786057085123,0.5088406163172519,-0.09592958621558158,0.5912388906725216,11580.0,0.04089329604203746,0.2963818603070986,0.349238578680203,0.24250608264647955,0.2882530535917026,0.30015852839741397,0.11540548378255311,0.18501470400204578,0.5101649405446874,-0.14528050646101762,0.5498991380857156,11261.0,0.040681186802547585
bce,11,deberta-v3-base,pareto_99,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.31397112998283505,0.3609134045077105,0.24288110822671166,0.2928801874904112,0.30537605761712305,0.11939950496968876,0.1823086574654956,0.5047678795483062,-0.1096466146477112,0.5774299223660906,11621.0,0.04103808232336074,0.29653388137807096,0.3495539334955393,0.2426326309053726,0.2882321757979304,0.29555132616752444,0.11094689602641758,0.18900650427241422,0.5079709220762658,-0.16114498256435847,0.5358324437843216,11289.0,0.04078233885214099
bce,11,deberta-v3-base,pareto_98,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.31397112998283505,0.3609134045077105,0.24288110822671166,0.2928801874904112,0.30537605761712305,0.11939950496968876,0.1823086574654956,0.5047678795483062,-0.1096466146477112,0.5774299223660906,11621.0,0.04103808232336074,0.29653388137807096,0.3495539334955393,0.2426326309053726,0.2882321757979304,0.29555132616752444,0.11094689602641758,0.18900650427241422,0.5079709220762658,-0.16114498256435847,0.5358324437843216,11289.0,0.04078233885214099
bce,11,deberta-v3-base,pareto_95,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.31397112998283505,0.3609134045077105,0.24288110822671166,0.2928801874904112,0.30537605761712305,0.11939950496968876,0.1823086574654956,0.5047678795483062,-0.1096466146477112,0.5774299223660906,11621.0,0.04103808232336074,0.29653388137807096,0.3495539334955393,0.2426326309053726,0.2882321757979304,0.29555132616752444,0.11094689602641758,0.18900650427241422,0.5079709220762658,-0.16114498256435847,0.5358324437843216,11289.0,0.04078233885214099
