method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,metric,higher_is_better,delta_decoded_minus_standard,delta_ci_low,delta_ci_high,improvement_over_standard,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0006891687475810704,-0.001124024068875551,0.002460607304278641,0.0006891687475810704,-0.001124024068875551,0.002460607304278641,0.427,14569,2000,42,False
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.0006220390991681923,-0.0005578101075802394,0.0017961090359777613,0.0006220390991681923,-0.0005578101075802394,0.0017961090359777613,0.327,14569,2000,42,False
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,decoder_geometry_cost,False,-0.014055635634930952,-0.01811107541856116,-0.009662953608793271,0.014055635634930952,0.009662953608793271,0.01811107541856116,0.0,14569,2000,42,True
bce,7,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,0.0005274352202932486,-6.145591602979005e-05,0.0010623220717303175,0.0005274352202932486,-6.145591602979005e-05,0.0010623220717303175,0.077,14569,2000,42,False
bce,7,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.0008514854893951207,0.00034016622967057985,0.0013508421770213868,0.0008514854893951207,0.00034016622967057985,0.0013508421770213868,0.002,14569,2000,42,True
bce,7,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,decoder_geometry_cost,False,-0.0017446157312888122,-0.003801900511338599,0.0003837513291049996,0.0017446157312888122,-0.0003837513291049996,0.003801900511338599,0.108,14569,2000,42,False
bce,7,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,macro_f1,True,0.00047361581883481607,-0.00010869165856229879,0.0010024932696742614,0.00047361581883481607,-0.00010869165856229879,0.0010024932696742614,0.108,14569,2000,42,False
bce,7,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,micro_f1,True,0.0007652482123525761,0.0002551724899301472,0.0012536441518102384,0.0007652482123525761,0.0002551724899301472,0.0012536441518102384,0.005,14569,2000,42,True
bce,7,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,decoder_geometry_cost,False,-0.0011047861181465723,-0.0030670551044264275,0.0007605345070079922,0.0011047861181465723,-0.0007605345070079922,0.0030670551044264275,0.267,14569,2000,42,False
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.000586190103856965,-0.0007866683301521168,0.002069095375350905,0.000586190103856965,-0.0007866683301521168,0.002069095375350905,0.431,14569,2000,42,False
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.0007037945013517732,-0.0006958806229735062,0.0020598876321443436,0.0007037945013517732,-0.0006958806229735062,0.0020598876321443436,0.299,14569,2000,42,False
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,decoder_geometry_cost,False,-0.019185835484542446,-0.025059184578140617,-0.013228116762852998,0.019185835484542446,0.013228116762852998,0.025059184578140617,0.0,14569,2000,42,True
bce,11,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,0.0001213683653087938,-0.0007305970415368193,0.0009024360090381759,0.0001213683653087938,-0.0007305970415368193,0.0009024360090381759,0.764,14569,2000,42,False
bce,11,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.0004966151108401484,-0.0002415379402077006,0.0012479767118556168,0.0004966151108401484,-0.0002415379402077006,0.0012479767118556168,0.185,14569,2000,42,False
bce,11,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,decoder_geometry_cost,False,-0.001888200795178152,-0.004746739152740051,0.0010152369281990572,0.001888200795178152,-0.0010152369281990572,0.004746739152740051,0.231,14569,2000,42,False
bce,11,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,0.0001213683653087938,-0.0007305970415368193,0.0009024360090381759,0.0001213683653087938,-0.0007305970415368193,0.0009024360090381759,0.764,14569,2000,42,False
bce,11,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.0004966151108401484,-0.0002415379402077006,0.0012479767118556168,0.0004966151108401484,-0.0002415379402077006,0.0012479767118556168,0.185,14569,2000,42,False
bce,11,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,decoder_geometry_cost,False,-0.001888200795178152,-0.004746739152740051,0.0010152369281990572,0.001888200795178152,-0.0010152369281990572,0.004746739152740051,0.231,14569,2000,42,False
bce,42,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0011772761788428898,-0.0004791888991112797,0.002702155030676624,0.0011772761788428898,-0.0004791888991112797,0.002702155030676624,0.127,14569,2000,42,False
bce,42,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.00071657119927232,-0.0004293140255982236,0.0018577025860681536,0.00071657119927232,-0.0004293140255982236,0.0018577025860681536,0.235,14569,2000,42,False
bce,42,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,decoder_geometry_cost,False,-0.015403261421087278,-0.02034988821643716,-0.010083797222883054,0.015403261421087278,0.010083797222883054,0.02034988821643716,0.0,14569,2000,42,True
bce,42,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,macro_f1,True,0.00019956148905891924,-0.0002635812421447406,0.0006842825832502812,0.00019956148905891924,-0.0002635812421447406,0.0006842825832502812,0.433,14569,2000,42,False
bce,42,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,micro_f1,True,0.00045393447717767543,-0.00012223555749683035,0.001072551132144375,0.00045393447717767543,-0.00012223555749683035,0.001072551132144375,0.134,14569,2000,42,False
bce,42,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,decoder_geometry_cost,False,-0.001058777984173087,-0.0027104242265337418,0.000531634264186803,0.001058777984173087,-0.000531634264186803,0.0027104242265337418,0.217,14569,2000,42,False
bce,42,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,macro_f1,True,8.347644573708513e-05,-0.00015748457126551208,0.00028356837376554536,8.347644573708513e-05,-0.00015748457126551208,0.00028356837376554536,0.439,14569,2000,42,False
bce,42,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,micro_f1,True,0.00016633289297957043,-4.596773645422492e-05,0.0003986050069336679,0.00016633289297957043,-4.596773645422492e-05,0.0003986050069336679,0.119,14569,2000,42,False
bce,42,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,decoder_geometry_cost,False,0.00026877100215538796,-0.0005120244461231188,0.0011073926274452277,-0.00026877100215538796,-0.0011073926274452277,0.0005120244461231188,0.504,14569,2000,42,False
