method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,7,deberta-v3-base,schwartz,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749432,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204207,0.6189754985358817,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.287302974398996,0.1439237433935628,0.054112345851427046,0.1912719403702813,0.5159894205337822,-0.1242487216901307,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.30216519290594374,0.3542160514730782,0.2288535265565217,0.2770644708072739,0.30734291690070104,0.11968691813276752,0.1728777235385165,0.525657816406715,-0.09199248659204229,0.6065430533531893,12060.0,0.04258835494533435,0.2943628315106296,0.34822089522775507,0.23512684013224416,0.28064444075754696,0.30010697867988234,0.11396784859500882,0.19431051108968178,0.5130183220829315,-0.13837182959361152,0.5689570035790018,11824.0,0.04271506551401498
bce,7,deberta-v3-base,random,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749432,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204207,0.6189754985358817,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.287302974398996,0.1439237433935628,0.054112345851427046,0.1912719403702813,0.5159894205337822,-0.1242487216901307,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.30239333812530184,0.3553446940356313,0.22881835345860085,0.27767787069237987,0.312463016873219,0.1251549359629622,0.16907462686567165,0.5290746268656716,-0.08071553288808163,0.6174337208432616,12045.0,0.042535384354606326,0.29420109798334176,0.348450341617982,0.23465010230322755,0.2813309502833713,0.30514483002837783,0.11936837163227275,0.19174757281553398,0.516626213592233,-0.12710576292512304,0.581268023482644,11759.0,0.042480248256030285
bce,7,deberta-v3-base,empirical,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749432,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204207,0.6189754985358817,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.287302974398996,0.1439237433935628,0.054112345851427046,0.1912719403702813,0.5159894205337822,-0.1242487216901307,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,0.3024309633740038,0.3554350982479915,0.22883682618396928,0.27769433080755995,0.3127258422408758,0.1252619546802481,0.16923260532283088,0.5288220551378446,-0.08099524193653786,0.6170594185241377,12051.0,0.04255657259089753,0.29414727858188333,0.34836410434093945,0.2346702379761213,0.2813401370074766,0.3054033198427098,0.1194715043421354,0.19163129169193452,0.5164342025469982,-0.12615764114314648,0.5819078530957862,11764.0,0.04249831112202911
bce,11,deberta-v3-base,schwartz,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.31588999353635394,0.3623724301138885,0.2452860510471761,0.3039103640886896,0.11693045269784727,0.043436685849180465,0.1783168688258097,0.508690759034638,-0.09009803167655618,0.5969095961838915,11672.0,0.04121818233183603,0.295947691274214,0.34885013899418754,0.2460355151274507,0.30047407226307227,0.11382629584847745,0.04154926357330835,0.1850538315389487,0.5099430018999367,-0.1399785541700214,0.555018279268864,11346.0,0.04098825552452757
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.31397112998283505,0.3609134045077105,0.24288110822671172,0.29288018749041134,0.30537605761712305,0.11939950496968875,0.1823086574654956,0.5047678795483062,-0.10964661464771128,0.5774299223660905,11621.0,0.04103808232336074,0.29653388137807096,0.3495539334955393,0.2426326309053726,0.2882321757979304,0.29555132616752444,0.11094689602641757,0.18900650427241422,0.5079709220762658,-0.16114498256435855,0.5358324437843216,11289.0,0.04078233885214099
bce,11,deberta-v3-base,random,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.31588999353635394,0.3623724301138885,0.2452860510471761,0.3039103640886896,0.11693045269784727,0.043436685849180465,0.1783168688258097,0.508690759034638,-0.09009803167655618,0.5969095961838915,11672.0,0.04121818233183603,0.295947691274214,0.34885013899418754,0.2460355151274507,0.30047407226307227,0.11382629584847745,0.04154926357330835,0.1850538315389487,0.5099430018999367,-0.1399785541700214,0.555018279268864,11346.0,0.04098825552452757
bce,11,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.3146906969179594,0.3620125037213457,0.2426032108567013,0.29317317501180756,0.3106354791725146,0.12513718807997218,0.17758074730842305,0.5099430018999367,-0.09156865874359968,0.59595509046476,11543.0,0.040762635251574995,0.2960690596395228,0.3493467541050277,0.2423862143364993,0.28818042169931274,0.30051652628721576,0.11637790030722923,0.1848383786557209,0.5110312981015905,-0.14273959828362548,0.5531300784736859,11232.0,0.04057642217975442
bce,11,deberta-v3-base,empirical,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.31588999353635394,0.3623724301138885,0.2452860510471761,0.3039103640886896,0.11693045269784727,0.043436685849180465,0.1783168688258097,0.508690759034638,-0.09009803167655618,0.5969095961838915,11672.0,0.04121818233183603,0.295947691274214,0.34885013899418754,0.2460355151274507,0.30047407226307227,0.11382629584847745,0.04154926357330835,0.1850538315389487,0.5099430018999367,-0.1399785541700214,0.555018279268864,11346.0,0.04098825552452757
