method,seed,model_slug,family,objective,comparison,control_geometry,metric,higher_is_better,delta_schwartz_minus_control,delta_ci_low,delta_ci_high,schwartz_improvement_over_control,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.00016173352728782175,-0.0016755787734826833,0.0019430831729531615,0.00016173352728782175,-0.0016755787734826833,0.0019430831729531615,0.832,14569,2000,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,-0.00022944639022692837,-0.0014389950397200619,0.0009728244066519814,-0.00022944639022692837,-0.0014389950397200619,0.0009728244066519814,0.693,14569,2000,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.0036078915093015196,-0.00566345693181686,-0.0015621588892886086,0.0036078915093015196,0.0015621588892886086,0.00566345693181686,0.001,14569,2000,42,True
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.01231101990364214,-0.016465096876306932,-0.008024043767544274,0.01231101990364214,0.008024043767544274,0.016465096876306932,0.0,14569,2000,42,True
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0002155529287462543,-0.0016234544144997406,0.0020011989654036997,0.0002155529287462543,-0.0016234544144997406,0.0020011989654036997,0.785,14569,2000,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,-0.00014320911318438379,-0.0013330236358831792,0.0010652295393795762,-0.00014320911318438379,-0.0013330236358831792,0.0010652295393795762,0.799,14569,2000,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.0034158804640667118,-0.005455100972178656,-0.0013665297738917027,0.0034158804640667118,0.0013665297738917027,0.005455100972178656,0.001,14569,2000,42,True
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.01295084951678438,-0.017175119488338022,-0.008499837532722395,0.01295084951678438,0.008499837532722395,0.017175119488338022,0.0,14569,2000,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0004648217385481712,-0.0009684441623238158,0.0019902355589129094,0.0004648217385481712,-0.0009684441623238158,0.0019902355589129094,0.563,14569,2000,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,0.00020717939051162482,-0.001259075083994221,0.001587973541570907,0.00020717939051162482,-0.001259075083994221,0.001587973541570907,0.765,14569,2000,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.003060376025324718,-0.0056213525261530175,-0.0007172338636855048,0.003060376025324718,0.0007172338636855048,0.0056213525261530175,0.008,14569,2000,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.017297634689364294,-0.023064190762667903,-0.011265701063029172,0.017297634689364294,0.011265701063029172,0.023064190762667903,0.0,14569,2000,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0004648217385481712,-0.0009684441623238158,0.0019902355589129094,0.0004648217385481712,-0.0009684441623238158,0.0019902355589129094,0.563,14569,2000,42,False
