method,seed,model_slug,family,objective,comparison,control_geometry,delta_macro_f1,schwartz_improvement_macro_f1,delta_micro_f1,schwartz_improvement_micro_f1,delta_opposite_error_rate,schwartz_improvement_opposite_error_rate,delta_decoder_geometry_cost,schwartz_improvement_decoder_geometry_cost
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.00016173352728787727,0.00016173352728787727,-0.00022944639022698388,-0.00022944639022698388,-0.0036078915093015196,0.0036078915093015196,-0.01231101990364214,0.01231101990364214
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.00021555292874630982,0.00021555292874630982,-0.00014320911318438379,-0.00014320911318438379,-0.0034158804640667118,0.0034158804640667118,-0.01295084951678438,0.01295084951678438
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.0004648217385481157,0.0004648217385481157,0.00020717939051162482,0.00020717939051162482,-0.003060376025324718,0.003060376025324718,-0.017297634689364294,0.017297634689364294
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.0004648217385481157,0.0004648217385481157,0.00020717939051162482,0.00020717939051162482,-0.003060376025324718,0.003060376025324718,-0.017297634689364294,0.017297634689364294
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.000977714689783915,0.000977714689783915,0.0002626367220945891,0.0002626367220945891,-0.0024611845776804087,0.0024611845776804087,-0.01434448343691419,0.01434448343691419
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.0010937997331058047,0.0010937997331058047,0.0005502383062926941,0.0005502383062926941,-0.0031894724401108077,0.0031894724401108077,-0.015672032423242666,0.015672032423242666
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.0008971389442009592,0.0008971389442009592,0.000913794994710726,0.000913794994710726,-0.004637681422321072,0.004637681422321072,-0.015588351700197678,0.015588351700197678
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.0009051615858775008,0.0009051615858775008,0.0008993272522168083,0.0008993272522168083,-0.004510423536515873,0.004510423536515873,-0.015338118524852118,0.015338118524852118
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.0015506207852705178,0.0015506207852705178,-0.00037009272507537716,-0.00037009272507537716,4.3207729633842895e-05,-4.3207729633842895e-05,-0.012871741692071725,0.012871741692071725
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.0015506207852705178,0.0015506207852705178,-0.00037009272507537716,-0.00037009272507537716,4.3207729633842895e-05,-4.3207729633842895e-05,-0.012871741692071725,0.012871741692071725
