method,seed,model_slug,family,objective,comparison,control_geometry,metric,higher_is_better,delta_schwartz_minus_control,delta_ci_low,delta_ci_high,schwartz_improvement_over_control,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.00016173352728782175,-0.0013452501640362935,0.0012579869692851725,0.00016173352728782175,-0.0013452501640362935,0.0012579869692851725,0.8,14569,50,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,-0.00022944639022692837,-0.0008939509111272004,0.00080358862529087,-0.00022944639022692837,-0.0008939509111272004,0.00080358862529087,0.64,14569,50,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.0036078915093015196,-0.005320882904172467,-0.0017466692858542328,0.0036078915093015196,0.0017466692858542328,0.005320882904172467,0.0,14569,50,42,True
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.012311019903642473,-0.016793937769729917,-0.00702757874012342,0.012311019903642473,0.00702757874012342,0.016793937769729917,0.0,14569,50,42,True
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0002155529287462543,-0.0012720722696088747,0.001321939173975528,0.0002155529287462543,-0.0012720722696088747,0.001321939173975528,0.72,14569,50,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,-0.00014320911318438379,-0.0008427593864244465,0.0009171223661214727,-0.00014320911318438379,-0.0008427593864244465,0.0009171223661214727,0.84,14569,50,42,False
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.0034158804640667118,-0.0050218714307577825,-0.0016247536764103486,0.0034158804640667118,0.0016247536764103486,0.0050218714307577825,0.0,14569,50,42,True
bce,7,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.01295084951678449,-0.017386818298094787,-0.007613387073523651,0.01295084951678449,0.007613387073523651,0.017386818298094787,0.0,14569,50,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0004648217385481712,-0.0008264510664921856,0.0015560272488004897,0.0004648217385481712,-0.0008264510664921856,0.0015560272488004897,0.64,14569,50,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,0.00020717939051162482,-0.0008712274697094943,0.001301404566179584,0.00020717939051162482,-0.0008712274697094943,0.001301404566179584,1.0,14569,50,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.003060376025324718,-0.005503054568766277,-7.471983035968764e-05,0.003060376025324718,7.471983035968764e-05,0.005503054568766277,0.04,14569,50,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.017297634689364405,-0.02400637559352586,-0.011632570390999304,0.017297634689364405,0.011632570390999304,0.02400637559352586,0.0,14569,50,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0004648217385481712,-0.0008264510664921856,0.0015560272488004897,0.0004648217385481712,-0.0008264510664921856,0.0015560272488004897,0.64,14569,50,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,0.00020717939051162482,-0.0008712274697094943,0.001301404566179584,0.00020717939051162482,-0.0008712274697094943,0.001301404566179584,1.0,14569,50,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.003060376025324718,-0.005503054568766277,-7.471983035968764e-05,0.003060376025324718,7.471983035968764e-05,0.005503054568766277,0.04,14569,50,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.017297634689364405,-0.02400637559352586,-0.011632570390999304,0.017297634689364405,0.011632570390999304,0.02400637559352586,0.0,14569,50,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0009777146897839706,-0.0006411446123521167,0.002397066184732542,0.0009777146897839706,-0.0006411446123521167,0.002397066184732542,0.32,14569,50,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,0.0002626367220946446,-0.0009205761545466304,0.0018284199699079803,0.0002626367220946446,-0.0009205761545466304,0.0018284199699079803,0.68,14569,50,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.0024611845776804087,-0.004105372925177167,-0.00011170072897375472,0.0024611845776804087,0.00011170072897375472,0.004105372925177167,0.0,14569,50,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.014344483436913968,-0.019576567730013684,-0.00889670370972996,0.014344483436913968,0.00889670370972996,0.019576567730013684,0.0,14569,50,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0010937997331058047,-0.0003031827923285865,0.002285900693454079,0.0010937997331058047,-0.0003031827923285865,0.002285900693454079,0.24,14569,50,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,0.0005502383062927496,-0.0005746582289002572,0.0018459970004321147,0.0005502383062927496,-0.0005746582289002572,0.0018459970004321147,0.56,14569,50,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.0031894724401108077,-0.005464279429321803,-0.0010243174650690417,0.0031894724401108077,0.0010243174650690417,0.005464279429321803,0.0,14569,50,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.015672032423242888,-0.02124795341490216,-0.01048538443110058,0.015672032423242888,0.01048538443110058,0.02124795341490216,0.0,14569,50,42,True
