method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,7,deberta-v3-base,schwartz,cardinality_only,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,cardinality_only,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,cardinality_only,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.30239333812530184,0.3553446940356313,0.2288183534586009,0.27767787069237976,0.3124630168732189,0.12515493596296223,0.16907462686567165,0.5290746268656716,-0.08071553288808174,0.6174337208432615,12045.0,0.042535384354606326,0.29420109798334176,0.348450341617982,0.23465010230322755,0.28133095028337124,0.30514483002837783,0.11936837163227275,0.19174757281553398,0.516626213592233,-0.12710576292512285,0.5812680234826442,11759.0,0.042480248256030285
bce,7,deberta-v3-base,schwartz,cardinality_only,pareto_98,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.30239333812530184,0.3553446940356313,0.2288183534586009,0.27767787069237976,0.3124630168732189,0.12515493596296223,0.16907462686567165,0.5290746268656716,-0.08071553288808174,0.6174337208432615,12045.0,0.042535384354606326,0.29420109798334176,0.348450341617982,0.23465010230322755,0.28133095028337124,0.30514483002837783,0.11936837163227275,0.19174757281553398,0.516626213592233,-0.12710576292512285,0.5812680234826442,11759.0,0.042480248256030285
bce,7,deberta-v3-base,schwartz,cardinality_only,pareto_95,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.30239333812530184,0.3553446940356313,0.2288183534586009,0.27767787069237976,0.3124630168732189,0.12515493596296223,0.16907462686567165,0.5290746268656716,-0.08071553288808174,0.6174337208432615,12045.0,0.042535384354606326,0.29420109798334176,0.348450341617982,0.23465010230322755,0.28133095028337124,0.30514483002837783,0.11936837163227275,0.19174757281553398,0.516626213592233,-0.12710576292512285,0.5812680234826442,11759.0,0.042480248256030285
bce,7,deberta-v3-base,schwartz,neighbor_only,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,neighbor_only,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,neighbor_only,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,0.3033444930544727,0.354699626329405,0.22891966365346816,0.27744619881773935,0.3201101709762102,0.12814798562639276,0.17264338278238522,0.5258731456605537,-0.08234911800033334,0.6161674104426056,12263.0,0.043305223606520324,0.29438057905172393,0.3473030466037459,0.23539534939259865,0.2813215550782771,0.31268892333406795,0.12222244421130889,0.19434921385506562,0.5128265752453008,-0.1302196953874809,0.5769560937128856,12010.0,0.04338700412917117
bce,7,deberta-v3-base,schwartz,neighbor_only,pareto_98,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,0.3033444930544727,0.354699626329405,0.22891966365346816,0.27744619881773935,0.3201101709762102,0.12814798562639276,0.17264338278238522,0.5258731456605537,-0.08234911800033334,0.6161674104426056,12263.0,0.043305223606520324,0.29438057905172393,0.3473030466037459,0.23539534939259865,0.2813215550782771,0.31268892333406795,0.12222244421130889,0.19434921385506562,0.5128265752453008,-0.1302196953874809,0.5769560937128856,12010.0,0.04338700412917117
bce,7,deberta-v3-base,schwartz,neighbor_only,pareto_95,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,0.3033444930544727,0.354699626329405,0.22891966365346816,0.27744619881773935,0.3201101709762102,0.12814798562639276,0.17264338278238522,0.5258731456605537,-0.08234911800033334,0.6161674104426056,12263.0,0.043305223606520324,0.29438057905172393,0.3473030466037459,0.23539534939259865,0.2813215550782771,0.31268892333406795,0.12222244421130889,0.19434921385506562,0.5128265752453008,-0.1302196953874809,0.5769560937128856,12010.0,0.04338700412917117
