method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,metric,higher_is_better,delta_decoded_minus_standard,delta_ci_low,delta_ci_high,improvement_over_standard,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0006891687475810704,-0.0011242519302733552,0.002078991436869493,0.0006891687475810704,-0.0011242519302733552,0.002078991436869493,0.42,14569,200,42,False
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.0006220390991681923,-0.0005217830194006802,0.0017094755530517884,0.0006220390991681923,-0.0005217830194006802,0.0017094755530517884,0.37,14569,200,42,False
bce,7,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,0.0005274352202932486,-1.8966606869431892e-05,0.001052492097880059,0.0005274352202932486,-1.8966606869431892e-05,0.001052492097880059,0.06,14569,200,42,False
bce,7,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.0008514854893951207,0.0003533115564226141,0.0014089105404784447,0.0008514854893951207,0.0003533115564226141,0.0014089105404784447,0.0,14569,200,42,True
bce,7,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,macro_f1,True,0.00047361581883481607,-5.699698438650366e-05,0.000988109215913148,0.00047361581883481607,-5.699698438650366e-05,0.000988109215913148,0.07,14569,200,42,False
bce,7,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,micro_f1,True,0.0007652482123525761,0.000248563720116636,0.001254215811616688,0.0007652482123525761,0.000248563720116636,0.001254215811616688,0.0,14569,200,42,True
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.000586190103856965,-0.0007803710060438465,0.0019020992457136011,0.000586190103856965,-0.0007803710060438465,0.0019020992457136011,0.43,14569,200,42,False
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.0007037945013517732,-0.0005843443385498789,0.0019707547820875656,0.0007037945013517732,-0.0005843443385498789,0.0019707547820875656,0.25,14569,200,42,False
bce,11,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,0.0001213683653087938,-0.0007696381381586306,0.0008147256221192043,0.0001213683653087938,-0.0007696381381586306,0.0008147256221192043,0.67,14569,200,42,False
bce,11,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.0004966151108401484,-0.0004196389594577021,0.0012610838027983674,0.0004966151108401484,-0.0004196389594577021,0.0012610838027983674,0.21,14569,200,42,False
bce,11,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,0.0001213683653087938,-0.0007696381381586306,0.0008147256221192043,0.0001213683653087938,-0.0007696381381586306,0.0008147256221192043,0.67,14569,200,42,False
bce,11,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.0004966151108401484,-0.0004196389594577021,0.0012610838027983674,0.0004966151108401484,-0.0004196389594577021,0.0012610838027983674,0.21,14569,200,42,False
bce,42,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0011772761788428898,-0.00034218559842664337,0.0024723790952669088,0.0011772761788428898,-0.00034218559842664337,0.0024723790952669088,0.15,14569,200,42,False
bce,42,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.00071657119927232,-0.00036890391541905676,0.00204389202351668,0.00071657119927232,-0.00036890391541905676,0.00204389202351668,0.27,14569,200,42,False
bce,42,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,macro_f1,True,0.00019956148905891924,-0.00029740442617519347,0.0007118087400578095,0.00019956148905891924,-0.00029740442617519347,0.0007118087400578095,0.38,14569,200,42,False
bce,42,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,micro_f1,True,0.00045393447717767543,-0.00013760238700754598,0.0009851965915616905,0.00045393447717767543,-0.00013760238700754598,0.0009851965915616905,0.15,14569,200,42,False
bce,42,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,macro_f1,True,8.347644573708513e-05,-0.00015730376718117722,0.0003450000978768104,8.347644573708513e-05,-0.00015730376718117722,0.0003450000978768104,0.43,14569,200,42,False
bce,42,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,micro_f1,True,0.00016633289297957043,-4.564384299772517e-05,0.0004648453492264144,0.00016633289297957043,-4.564384299772517e-05,0.0004648453492264144,0.12,14569,200,42,False
bce,1701,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0007640704869591453,-0.000894775780867757,0.0024838786894690414,0.0007640704869591453,-0.000894775780867757,0.0024838786894690414,0.33,14569,200,42,False
bce,1701,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,0.001104382486941391,-0.0002645491627561391,0.0025807143146310664,0.001104382486941391,-0.0002645491627561391,0.0025807143146310664,0.12,14569,200,42,False
bce,1701,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,macro_f1,True,-0.00013306845724181393,-0.001076095610625781,0.0005591133141053529,-0.00013306845724181393,-0.001076095610625781,0.0005591133141053529,0.77,14569,200,42,False
bce,1701,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,micro_f1,True,0.00019058749223066496,-0.0005254886674628089,0.0009343097476732981,0.00019058749223066496,-0.0005254886674628089,0.0009343097476732981,0.58,14569,200,42,False
bce,1701,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,macro_f1,True,-0.00014109109891830007,-0.0010420332122396292,0.0005329678261663043,-0.00014109109891830007,-0.0010420332122396292,0.0005329678261663043,0.73,14569,200,42,False
bce,1701,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,micro_f1,True,0.00020505523472458265,-0.0005213960930649783,0.0009342596620515801,0.00020505523472458265,-0.0005213960930649783,0.0009342596620515801,0.55,14569,200,42,False
bce,1984,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0015506207852704623,-0.0007458979374788246,0.003585333673760906,0.0015506207852704623,-0.0007458979374788246,0.003585333673760906,0.15,14569,200,42,False
bce,1984,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,-0.00037009272507532165,-0.0018909393394284213,0.0009283270001220299,-0.00037009272507532165,-0.0018909393394284213,0.0009283270001220299,0.68,14569,200,42,False
bce,1984,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,macro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14569,200,42,False
bce,1984,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,micro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14569,200,42,False
bce,1984,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,macro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14569,200,42,False
bce,1984,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,micro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14569,200,42,False
