method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
asl,microsoft/deberta-v3-base,test,42,provided,Self-direction: thought,0.0,0.0,0.0,32.0,0.0,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Self-direction: action,0.0,0.05703703703703704,2.0,0.0,0.0625,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Stimulation,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Hedonism,0.0,0.14285714285714285,1.0,0.0,0.03125,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Achievement,0.0,0.0,0.0,32.0,0.0,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Power: dominance,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Power: resources,0.08,0.10407647907647907,4.0,21.0,0.125,0.65625,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Face,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Security: personal,0.0,0.0,0.0,32.0,0.0,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Security: societal,0.3157894736842105,0.2986111111111111,6.0,32.0,0.1875,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Tradition,0.0,0.0,0.0,32.0,0.0,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Conformity: rules,0.06060606060606061,0.058823529411764705,1.0,32.0,0.03125,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Conformity: interpersonal,0.0,0.08680555555555555,2.0,0.0,0.0625,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Humility,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Benevolence: caring,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Benevolence: dependability,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Universalism: concern,0.11764705882352941,0.26666666666666666,2.0,32.0,0.0625,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Universalism: nature,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Universalism: tolerance,0.0,0.047619047619047616,1.0,0.0,0.03125,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,42,provided,Self-direction: thought,0.0,0.0,0.0,32.0,0.0,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,42,provided,Self-direction: action,0.0,0.05714285714285714,2.0,0.0,0.0625,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,42,provided,Stimulation,0.0,0.0,0.0,0.0,0.0,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,42,provided,Hedonism,0.0,0.14285714285714285,1.0,0.0,0.03125,0.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,42,provided,Achievement,0.0,0.0,0.0,32.0,0.0,1.0,/home/vicyesmo@upvnet.upv.es/schwartz-geometry-value-detection/results/smoke/logs/deberta_bce_seed42_deberta-v3-base_test_metrics.json
