method,model_name,split,threshold_source,label,f1_mean,f1_std,f1_count,auprc_mean,auprc_std,auprc_count,gold_mean,gold_std,gold_count,pred_mean,pred_std,pred_count,gold_rate_mean,gold_rate_std,gold_rate_count,pred_rate_mean,pred_rate_std,pred_rate_count,f1_mean_std,auprc_mean_std,gold_mean_std,pred_mean_std,gold_rate_mean_std,pred_rate_mean_std
asl,microsoft/deberta-v3-base,test,provided,Achievement,0.0,,1,0.0,,1,0.0,,1,32.0,,1,0.0,,1,1.0,,1,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,32.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Benevolence: caring,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Benevolence: dependability,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Conformity: interpersonal,0.0,,1,0.08680555555555555,,1,2.0,,1,0.0,,1,0.0625,,1,0.0,,1,0.0000 ± 0.0000,0.0868 ± 0.0000,2.0000 ± 0.0000,0.0000 ± 0.0000,0.0625 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Conformity: rules,0.06060606060606061,,1,0.058823529411764705,,1,1.0,,1,32.0,,1,0.03125,,1,1.0,,1,0.0606 ± 0.0000,0.0588 ± 0.0000,1.0000 ± 0.0000,32.0000 ± 0.0000,0.0312 ± 0.0000,1.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Face,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Hedonism,0.0,,1,0.14285714285714285,,1,1.0,,1,0.0,,1,0.03125,,1,0.0,,1,0.0000 ± 0.0000,0.1429 ± 0.0000,1.0000 ± 0.0000,0.0000 ± 0.0000,0.0312 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Humility,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Power: dominance,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
asl,microsoft/deberta-v3-base,test,provided,Power: resources,0.08,,1,0.10407647907647907,,1,4.0,,1,21.0,,1,0.125,,1,0.65625,,1,0.0800 ± 0.0000,0.1041 ± 0.0000,4.0000 ± 0.0000,21.0000 ± 0.0000,0.1250 ± 0.0000,0.6562 ± 0.0000
