method,seed,base_config,params_json,gamma_pos,gamma_neg,clip,lambda_geo,tau,random_seed,best_macro_f1,collapsed,run_name
asl,42,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.0,,,,0.23215169032963298,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg2p0_clip0p0
asl,42,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.03,,,,0.2509119485827663,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg2p0_clip0p03
asl,42,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.05,,,,0.2601931013296062,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg2p0_clip0p05
asl,42,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.1,,,,0.26118578123727787,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg2p0_clip0p1
asl,42,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.0,,,,0.25476232474924104,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg3p0_clip0p0
asl,42,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.03,,,,0.23873262070079013,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg3p0_clip0p03
asl,42,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.05,,,,0.2234664233938213,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg3p0_clip0p05
asl,42,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.1,,,,0.21403349330254012,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg3p0_clip0p1
asl,42,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.0,,,,0.18853041116742872,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg4p0_clip0p0
asl,42,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.03,,,,0.22022518059700155,False,tune_deberta_asl_seed42_gamma_pos0p0_gamma_neg4p0_clip0p03
